Year	Day	Height	Biomass	Grazed	Density	Cover	WeedBiomass	tovNum	InsectBiomass	LATotal	LAGreen	Digestability	GreenBiomass	DeadBiomass	GooseGrazing	SpilledGrain
n0	1	0.0739525	0	0	0	0.0110316	0	108	0.05	0.0184881	0.00462203	0	0	0	0	0
0	2	0.147905	0	0	0	0.0219415	0	108	0.05	0.0369763	0.00924407	0	0	0	0	0
0	3	0.221858	0	0	0	0.032731	0	108	0.05	0.0554644	0.0138661	0	0	0	0	0
0	4	0.29581	0	0	0	0.0434015	0	108	0.05	0.0739525	0.0184881	0	0	0	0	0
0	5	0.369763	0	0	0	0.0539543	0	108	0.05	0.0924407	0.0231102	0	0	0	0	0
0	6	0.443715	0	0	0	0.0643907	0	108	0.05	0.110929	0.0277322	0	0	0	0	0
0	7	0.517668	0.0031866	0	0.00209967	0.0747119	0	108	0.05	0.129417	0.0323542	0.8	0.000796651	0.00238995	0	0
0	8	0.59162	0.00691517	0	0.00434474	0.0849193	0	108	0.05	0.147905	0.0369763	0.8	0.00172879	0.00518638	0	0
0	9	0.665573	0.0112153	0	0.00673358	0.0950141	0	108	0.05	0.166393	0.0415983	0.8	0.00280382	0.00841145	0	0
0	10	0.739525	0.0308307	0	0.0177236	0.104998	0	108	0.05	0.184881	0.0462203	0.8	0.00770767	0.023123	0	0
0	11	0.813478	0.0474581	0	0.0261697	0.114871	0	108	0.05	0.203369	0.0508424	0.8	0.0118645	0.0355936	0	0
0	12	0.887431	0.0536768	0	0.0284391	0.124635	0	108	0.05	0.221858	0.0554644	0.8	0.0134192	0.0402576	0	0
0	13	0.961383	0.0536768	0	0.0273668	0.134292	0	108	0.05	0.240346	0.0600864	0.8	0.0134192	0.0402576	0	0
0	14	1.03534	0.0690653	0	0.0339331	0.143842	0	108	0.05	0.258834	0.0647085	0.8	0.0172663	0.051799	0	0
0	15	1.10929	0.103062	0	0.0488609	0.153287	0	108	0.05	0.277322	0.0693305	0.8	0.0257654	0.0772963	0	0
0	16	1.18324	0.131118	0	0.0600567	0.162627	0	108	0.05	0.29581	0.0739525	0.8	0.0327796	0.0983387	0	0
0	17	1.25719	0.131118	0	0.0580891	0.171865	0	108	0.05	0.314298	0.0785746	0.8	0.0327796	0.0983387	0	0
0	18	1.33115	0.131118	0	0.0562463	0.181001	0	108	0.05	0.332786	0.0831966	0.8	0.0327796	0.0983387	0	0
0	19	1.4051	0.143346	0	0.0596009	0.190035	0	108	0.0545809	0.351275	0.0878186	0.8	0.0358365	0.107509	0	0
0	20	1.47905	0.183248	0	0.0739186	0.198971	0	108	0.0697741	0.369763	0.0924407	0.8	0.045812	0.137436	0	0
0	21	1.553	0.24099	0	0.0943945	0.207807	0	108	0.09176	0.388251	0.0970627	0.8	0.0602474	0.180742	0	0
0	22	1.62696	0.272258	0	0.10364	0.216546	0	108	0.103666	0.406739	0.101685	0.8	0.0680646	0.204194	0	0
0	23	1.70091	0.272258	0	0.100803	0.225189	0	108	0.103666	0.425227	0.106307	0.8	0.0680646	0.204194	0	0
0	24	1.77486	0.272258	0	0.0981161	0.233736	0	108	0.103666	0.443715	0.110929	0.8	0.0680646	0.204194	0	0
0	25	1.84881	0.272258	0	0.0955691	0.24219	0	108	0.103666	0.462203	0.115551	0.8	0.0680646	0.204194	0	0
0	26	1.92277	0.272258	0	0.093151	0.250549	0	108	0.103666	0.480692	0.120173	0.8	0.0680646	0.204194	0	0
0	27	1.99672	0.272258	0	0.0908522	0.258817	0	108	0.103666	0.49918	0.124795	0.8	0.0680646	0.204194	0	0
0	28	2.07067	0.29659	0	0.0965881	0.266993	0	108	0.112931	0.517668	0.129417	0.8	0.0741476	0.222443	0	0
0	29	2.14462	0.29659	0	0.0943167	0.27508	0	108	0.112931	0.536156	0.134039	0.8	0.0741476	0.222443	0	0
0	30	2.21858	0.380194	0	0.118125	0.283077	0	108	0.144764	0.554644	0.138661	0.8	0.0950485	0.285146	0	0
0	31	2.29253	0.469496	0	0.142594	0.290986	0	108	0.178767	0.573132	0.143283	0.8	0.117374	0.352122	0	0
